id,answered,concerned_teacher,how_teacher,again_teacher,respect_teacher,disrespectful_people,understand_people,energy_school,fights_students,support_adults,fair_rules,online_bully,respect_students,behavior_students,school_violence,belong_school,excited_teacher,adult_help
stu-e11-1,y,Extremely concerned,Frequently,Extremely excited,Somewhat respectful,Almost never,Understand somewhat,Slightly positive,Once in a while,No support at all,Slightly fair,Somewhat likely,A little bit of respect,Hurts my learning some,Once in a while,Belong somewhat,Sometimes,Extremely difficult
stu-e11-2,y,Quite concerned,Sometimes,Quite excited,Somewhat respectful,Sometimes,Understand a little,Neither negative or positive,Almost always,Some support,Slightly fair,Somewhat likely,Some respect,Hurts my learning a little bit,Almost never,Belong quite a bit,Sometimes,Slightly difficult
stu-e11-3,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e11-4,y,Not at all concerned,Once in a while,Slightly excited,Not at all respectful,Once in a while,Understand quite a bit,Somewhat positive,Almost always,Some support,Slightly fair,Slightly likely,Some respect,Hurts my learning a little bit,Sometimes,Belong a little bit,Almost never,Somewhat difficult
stu-e11-5,y,Somewhat concerned,Sometimes,Slightly excited,Slightly respectful,Frequently,Understand a little,Neither negative or positive,Frequently,Quite a bit of support,Slightly unfair,Somewhat likely,A tremendous amount of respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Almost never,Slightly difficult
stu-e11-6,y,Extremely concerned,Frequently,Extremely excited,Quite respectful,Almost always,Do not understand at all,Slightly negative,Frequently,Some support,Very unfair,Extremely likely,Some respect,Helps my learning a little bit,Frequently,Belong somewhat,Sometimes,Slightly difficult
stu-e11-7,y,Extremely concerned,Frequently,Extremely excited,Somewhat respectful,Frequently,Understand somewhat,Slightly negative,Almost always,Some support,Neither unfair or fair,Quite likely,A tremendous amount of respect,Neither helps nor hurts my learning,Frequently,Do not belong at all,Frequently,Somewhat difficult
stu-e11-8,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e11-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e11-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e11-11,y,Slightly concerned,Sometimes,Somewhat excited,Slightly respectful,Almost always,Do not understand at all,Slightly negative,Almost never,Some support,Very unfair,Extremely likely,A little bit of respect,Hurts my learning some,Frequently,Do not belong at all,Once in a while,Slightly difficult
stu-e11-12,y,Extremely concerned,Sometimes,Quite excited,Quite respectful,Almost never,Understand somewhat,Slightly negative,Almost always,Quite a bit of support,Slightly unfair,Quite likely,A tremendous amount of respect,Neither helps nor hurts my learning,Almost always,Belong somewhat,Almost always,Not at all difficult
stu-e11-13,y,Slightly concerned,Sometimes,Slightly excited,Not at all respectful,Almost never,Completely understand,Very positive,Sometimes,Quite a bit of support,Somewhat fair,Not at all likely,A little bit of respect,Hurts my learning some,Sometimes,Belong somewhat,Sometimes,Somewhat difficult
stu-e11-14,y,Quite concerned,Frequently,Somewhat excited,Somewhat respectful,Sometimes,Understand a little,Neither negative or positive,Frequently,A tremendous amount of support,Neither unfair or fair,Quite likely,A tremendous amount of respect,Helps my learning a little bit,Sometimes,Belong a little bit,Frequently,Somewhat difficult
stu-e11-15,y,Slightly concerned,Once in a while,Somewhat excited,Slightly respectful,Sometimes,Understand a little,Neither negative or positive,Once in a while,Quite a bit of support,Neither unfair or fair,Extremely likely,No respect at all,Hurts my learning some,Sometimes,Belong somewhat,Once in a while,Somewhat difficult
stu-e11-16,y,Somewhat concerned,Sometimes,Somewhat excited,Somewhat respectful,Frequently,Understand a little,Neither negative or positive,Once in a while,A tremendous amount of support,Neither unfair or fair,Extremely likely,A little bit of respect,Neither helps nor hurts my learning,Once in a while,Belong quite a bit,Once in a while,Somewhat difficult
stu-e11-17,y,Quite concerned,Frequently,Somewhat excited,Slightly respectful,Almost never,Understand somewhat,Slightly negative,Almost never,Quite a bit of support,Neither unfair or fair,Somewhat likely,No respect at all,Hurts my learning a little bit,Once in a while,Belong quite a bit,Almost never,Not at all difficult
stu-e11-18,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e11-19,y,Extremely concerned,Almost always,Somewhat excited,Slightly respectful,Almost always,Do not understand at all,Neither negative or positive,Once in a while,No support at all,Neither unfair or fair,Extremely likely,No respect at all,Hurts my learning a tremendous amount,Sometimes,Belong somewhat,Once in a while,Extremely difficult
