"id","answered","concerned_teacher","how_teacher","again_teacher","respect_teacher","disrespectful_people","understand_people","energy_school","fights_students","support_adults","fair_rules","online_bully","respect_students","behavior_students","school_violence","belong_school","excited_teacher","adult_help"
stu-e3-1,y,Extremely concerned,Almost always,Somewhat excited,Slightly respectful,Sometimes,Understand a little,Slightly negative,Almost never,Some support,Neither unfair or fair,Extremely likely,No respect at all,Neither helps nor hurts my learning,Frequently,Belong a little bit,Once in a while,Quite difficult
stu-e3-2,y,Slightly concerned,Almost never,Somewhat excited,Quite respectful,Sometimes,Understand a little,Slightly negative,Sometimes,A tremendous amount of support,Somewhat unfair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Almost always,Do not belong at all,Sometimes,Slightly difficult
stu-e3-3,y,Not at all concerned,Once in a while,Not at all excited,Slightly respectful,Almost always,Do not understand at all,Somewhat negative,Almost always,A tremendous amount of support,Neither unfair or fair,Quite likely,Quite a bit of respect,Helps my learning a little bit,Once in a while,Completely belong,Once in a while,Not at all difficult
stu-e3-4,y,Extremely concerned,Sometimes,Somewhat excited,Quite respectful,Almost never,Understand quite a bit,Very positive,Sometimes,No support at all,Somewhat fair,Slightly likely,A little bit of respect,Hurts my learning a little bit,Sometimes,Belong somewhat,Frequently,Quite difficult
stu-e3-8,y,Quite concerned,Frequently,Extremely excited,Extremely respectful,Once in a while,Understand quite a bit,Somewhat positive,Almost never,Quite a bit of support,Very fair,Somewhat likely,Some respect,Helps my learning a little bit,Once in a while,Belong somewhat,Sometimes,Slightly difficult
stu-e3-14,y,Somewhat concerned,Once in a while,Not at all excited,Somewhat respectful,Almost always,Understand a little,Very negative,Frequently,Some support,Slightly unfair,Somewhat likely,A tremendous amount of respect,Helps my learning a tremendous amount,Frequently,Belong somewhat,Frequently,Somewhat difficult
stu-e3-15,y,Slightly concerned,Almost never,Slightly excited,Not at all respectful,Frequently,Do not understand at all,Neither negative or positive,Almost never,Some support,Slightly unfair,Quite likely,No respect at all,Neither helps nor hurts my learning,Almost always,Belong somewhat,Once in a while,Slightly difficult
stu-e3-16,y,Not at all concerned,Sometimes,Slightly excited,Somewhat respectful,Almost never,Understand quite a bit,Slightly positive,Almost always,A little bit of support,Slightly fair,Not at all likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Sometimes,Extremely difficult
stu-e3-17,y,Slightly concerned,Once in a while,Not at all excited,Somewhat respectful,Almost always,Do not understand at all,Neither negative or positive,Once in a while,A tremendous amount of support,Slightly unfair,Somewhat likely,No respect at all,Hurts my learning a tremendous amount,Almost always,Belong a little bit,Frequently,Somewhat difficult
stu-e3-19,y,Extremely concerned,Sometimes,Quite excited,Quite respectful,Frequently,Understand somewhat,Neither negative or positive,Almost always,A tremendous amount of support,Slightly fair,Quite likely,Quite a bit of respect,Helps my learning some,Sometimes,Belong a little bit,Frequently,Slightly difficult
stu-e3-20,y,Not at all concerned,Sometimes,Quite excited,Quite respectful,Sometimes,Understand a little,Very negative,Once in a while,Some support,Slightly unfair,Quite likely,No respect at all,Hurts my learning some,Sometimes,Belong quite a bit,Sometimes,Somewhat difficult
stu-e3-21,y,Somewhat concerned,Once in a while,Not at all excited,Slightly respectful,Almost never,Understand somewhat,Neither negative or positive,Almost always,A little bit of support,Slightly unfair,Quite likely,A tremendous amount of respect,Helps my learning some,Almost always,Do not belong at all,Once in a while,Extremely difficult
stu-e3-23,y,Somewhat concerned,Once in a while,Slightly excited,Somewhat respectful,Once in a while,Understand quite a bit,Somewhat positive,Once in a while,No support at all,Very fair,Slightly likely,No respect at all,Hurts my learning a tremendous amount,Sometimes,Belong a little bit,Sometimes,Somewhat difficult
stu-e3-24,y,Slightly concerned,Once in a while,Slightly excited,Slightly respectful,Sometimes,Understand somewhat,Slightly negative,Almost never,Some support,Slightly unfair,Somewhat likely,No respect at all,Hurts my learning a little bit,Sometimes,Belong quite a bit,Once in a while,Quite difficult
stu-e3-28,y,Not at all concerned,Almost never,Not at all excited,Somewhat respectful,Frequently,Do not understand at all,Very negative,Almost never,Quite a bit of support,Very unfair,Quite likely,A little bit of respect,Hurts my learning a little bit,Almost always,Do not belong at all,Once in a while,Slightly difficult
stu-e3-30,y,Somewhat concerned,Once in a while,Not at all excited,Not at all respectful,Almost always,Understand a little,Slightly negative,Sometimes,A little bit of support,Very unfair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Almost always,Do not belong at all,Sometimes,Quite difficult
stu-e3-34,y,Extremely concerned,Almost always,Extremely excited,Extremely respectful,Almost always,Do not understand at all,Somewhat negative,Frequently,A little bit of support,Somewhat unfair,Quite likely,A tremendous amount of respect,Helps my learning some,Sometimes,Belong somewhat,Frequently,Quite difficult
stu-e3-40,y,Not at all concerned,Once in a while,Somewhat excited,Slightly respectful,Sometimes,Understand somewhat,Slightly positive,Almost always,A little bit of support,Slightly fair,Quite likely,A tremendous amount of respect,Helps my learning a little bit,Sometimes,Belong quite a bit,Almost never,Extremely difficult
stu-e3-44,y,Slightly concerned,Once in a while,Not at all excited,Slightly respectful,Frequently,Understand a little,Neither negative or positive,Almost never,Quite a bit of support,Neither unfair or fair,Somewhat likely,A little bit of respect,Hurts my learning a little bit,Frequently,Belong somewhat,Once in a while,Somewhat difficult
stu-e3-46,y,Somewhat concerned,Once in a while,Somewhat excited,Quite respectful,Almost always,Understand somewhat,Slightly positive,Sometimes,No support at all,Somewhat fair,Quite likely,Some respect,Neither helps nor hurts my learning,Once in a while,Belong quite a bit,Frequently,Somewhat difficult
stu-e3-47,y,Not at all concerned,Almost never,Slightly excited,Not at all respectful,Frequently,Understand a little,Somewhat negative,Once in a while,A little bit of support,Very unfair,Quite likely,No respect at all,Hurts my learning a tremendous amount,Frequently,Belong somewhat,Sometimes,Extremely difficult
stu-e3-51,y,Not at all concerned,Sometimes,Quite excited,Quite respectful,Sometimes,Understand somewhat,Slightly positive,Frequently,No support at all,Somewhat fair,Somewhat likely,Some respect,Helps my learning a little bit,Almost never,Completely belong,Sometimes,Quite difficult
stu-e3-52,y,Quite concerned,Almost always,Somewhat excited,Slightly respectful,Once in a while,Completely understand,Very positive,Frequently,Some support,Very fair,Slightly likely,Some respect,Neither helps nor hurts my learning,Almost never,Completely belong,Almost never,Somewhat difficult
stu-e3-55,y,Slightly concerned,Almost never,Somewhat excited,Somewhat respectful,Once in a while,Understand quite a bit,Somewhat positive,Sometimes,A tremendous amount of support,Neither unfair or fair,Not at all likely,Quite a bit of respect,Helps my learning a tremendous amount,Frequently,Belong somewhat,Frequently,Somewhat difficult
stu-e3-60,y,Slightly concerned,Once in a while,Not at all excited,Slightly respectful,Once in a while,Understand quite a bit,Neither negative or positive,Once in a while,No support at all,Slightly fair,Slightly likely,Some respect,Hurts my learning a little bit,Once in a while,Belong quite a bit,Sometimes,Extremely difficult
stu-e3-62,y,Not at all concerned,Once in a while,Slightly excited,Slightly respectful,Sometimes,Understand a little,Very negative,Frequently,No support at all,Slightly unfair,Quite likely,A tremendous amount of respect,Helps my learning some,Sometimes,Belong a little bit,Sometimes,Quite difficult
