"id","answered","enthusiastic_students","staff_trusted","positive_colleagues","supportive_students","respectful_staff_students","optimistic_improvement","students_help_students","colleagues_support_initiatives","positive_environment","positive_leaders","leaders_important_staff_satisfied","leaders_positive_influence","leaders_communicate_effective","leaders_knowledge","leaders_responsive","leaders_effective_rules","leaders_clear_goals","staff_input","friendly_families","meet_families","caring_families","supportive_families","trust_parents","respectful_parents","challenging_families"
h4-1,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-2,y,Extremely enthusiastic,Trusted quite a bit,Quite positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Quite supportive,Somewhat positive,Somewhat positive,Slightly important,Somewhat positive,Quite effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Slightly clearly,Some input,Quite friendly,Frequently,Extremely caring,Somewhat supportive,Trust some,Quite respectful,Somewhat challenging
h4-3,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-4,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-5,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-6,y,Quite enthusiastic,Not at all trusted,Not at all positive,Somewhat supportive,Somewhat respectful,Not at all optimistic,Sometimes,Not at all supportive,Not at all positive,Slightly positive,Somewhat important,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Quite responsive,Quite effective,Somewhat clearly,Some input,Quite friendly,Almost all the time,Quite caring,Somewhat supportive,Trust a little bit,Somewhat respectful,Slightly challenging
h4-7,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-8,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-9,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-10,y,Somewhat enthusiastic,Trusted a tremendous amount,Extremely positive,Somewhat supportive,Somewhat respectful,Extremely optimistic,Frequently,Somewhat supportive,Slightly positive,Quite positive,Quite important,Extremely positive,Extremely effectively,Extremely knowledgeable,Quite responsive,Somewhat effective,Somewhat clearly,Some input,Extremely friendly,Once in a while,Quite caring,Somewhat supportive,Trust quite a bit,Somewhat respectful,Quite challenging
h4-11,y,Quite enthusiastic,Trusted quite a bit,Quite positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Frequently,Quite supportive,Extremely positive,Quite positive,Extremely important,Somewhat positive,Somewhat effectively,Slightly knowledgeable,Somewhat responsive,Quite effective,Somewhat clearly,Some input,Somewhat friendly,Sometimes,Quite caring,Quite supportive,Trust some,Somewhat respectful,Quite challenging
h4-12,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-13,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-14,y,Quite enthusiastic,Trusted somewhat,Extremely positive,Extremely supportive,Somewhat respectful,Somewhat optimistic,Almost all the time,Somewhat supportive,Quite positive,Somewhat positive,Slightly important,Slightly positive,Somewhat effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Somewhat clearly,A little bit of input,Extremely friendly,Almost all the time,Extremely caring,Quite supportive,Trust a tremendous amount,Extremely respectful,Slightly challenging
h4-15,y,Somewhat enthusiastic,Trusted somewhat,Somewhat positive,Somewhat supportive,Quite respectful,Somewhat optimistic,Frequently,Slightly supportive,Somewhat positive,Somewhat positive,Somewhat important,Somewhat positive,Somewhat effectively,Quite knowledgeable,Somewhat responsive,Slightly effective,Somewhat clearly,Quite a bit of input,Extremely friendly,Frequently,Somewhat caring,Somewhat supportive,Trust a little bit,Somewhat respectful,Quite challenging
h4-16,n,,,,,,,,,,,,,,,,,,,,,,,,,
h4-17,y,Quite enthusiastic,Not at all trusted,Not at all positive,Somewhat supportive,Not at all respectful,Slightly optimistic,Frequently,Not at all supportive,Not at all positive,Somewhat positive,Somewhat important,Somewhat positive,Quite effectively,Extremely knowledgeable,Somewhat responsive,Slightly effective,Somewhat clearly,Some input,Extremely friendly,Almost never,Extremely caring,Somewhat supportive,Trust quite a bit,Quite respectful,Slightly challenging
h4-18,y,Slightly enthusiastic,Not at all trusted,Somewhat positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Frequently,Somewhat supportive,Slightly positive,Somewhat positive,Somewhat important,Slightly positive,Somewhat effectively,Somewhat knowledgeable,Quite responsive,Extremely effective,Extremely clearly,A tremendous amount of input,Extremely friendly,Once in a while,Somewhat caring,Slightly supportive,Do not trust at all,Slightly respectful,Quite challenging
h4-19,y,Extremely enthusiastic,Trusted somewhat,Not at all positive,Somewhat supportive,Somewhat respectful,Somewhat optimistic,Sometimes,Somewhat supportive,Slightly positive,Somewhat positive,Slightly important,Slightly positive,Not at all effectively,Not knowledgeable at all,Somewhat responsive,Quite effective,Somewhat clearly,A little bit of input,Quite friendly,Frequently,Extremely caring,Quite supportive,Trust a tremendous amount,Quite respectful,Somewhat challenging
h4-20,n,,,,,,,,,,,,,,,,,,,,,,,,,
