id,answered,concerned_teacher,how_teacher,again_teacher,respect_teacher,disrespectful_people,understand_people,energy_school,fights_students,support_adults,fair_rules,online_bully,respect_students,behavior_students,school_violence,belong_school,excited_teacher,adult_help
stu-e9-1,y,Quite concerned,Sometimes,Quite excited,Extremely respectful,Sometimes,Understand a little,Somewhat negative,Sometimes,Some support,Neither unfair or fair,Extremely likely,Some respect,Hurts my learning a little bit,Sometimes,Belong quite a bit,Almost always,Slightly difficult
stu-e9-2,y,Extremely concerned,Sometimes,Somewhat excited,Slightly respectful,Frequently,Understand a little,Somewhat negative,Frequently,A little bit of support,Slightly unfair,Quite likely,Quite a bit of respect,Helps my learning a little bit,Almost always,Do not belong at all,Almost never,Extremely difficult
stu-e9-3,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-4,y,Extremely concerned,Almost always,Somewhat excited,Slightly respectful,Sometimes,Understand somewhat,Neither negative or positive,Almost always,Some support,Slightly unfair,Somewhat likely,A tremendous amount of respect,Helps my learning a little bit,Almost always,Belong a little bit,Almost never,Slightly difficult
stu-e9-5,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-6,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-7,y,Not at all concerned,Once in a while,Somewhat excited,Quite respectful,Sometimes,Understand somewhat,Slightly positive,Almost never,Quite a bit of support,Somewhat fair,Slightly likely,Some respect,Helps my learning a little bit,Sometimes,Belong a little bit,Frequently,Slightly difficult
stu-e9-8,y,Quite concerned,Almost always,Extremely excited,Extremely respectful,Frequently,Understand a little,Somewhat negative,Frequently,No support at all,Neither unfair or fair,Extremely likely,Quite a bit of respect,Helps my learning some,Sometimes,Belong somewhat,Sometimes,Somewhat difficult
stu-e9-9,y,Extremely concerned,Frequently,Somewhat excited,Somewhat respectful,Frequently,Understand a little,Neither negative or positive,Almost always,Some support,Slightly unfair,Quite likely,Some respect,Hurts my learning a little bit,Sometimes,Belong quite a bit,Sometimes,Somewhat difficult
stu-e9-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-12,y,Quite concerned,Frequently,Quite excited,Somewhat respectful,Frequently,Understand a little,Slightly negative,Once in a while,No support at all,Very unfair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong somewhat,Once in a while,Extremely difficult
stu-e9-13,y,Extremely concerned,Almost always,Extremely excited,Quite respectful,Frequently,Understand somewhat,Slightly negative,Almost always,A tremendous amount of support,Somewhat unfair,Slightly likely,Quite a bit of respect,Helps my learning a tremendous amount,Sometimes,Belong quite a bit,Sometimes,Slightly difficult
stu-e9-14,y,Quite concerned,Almost always,Somewhat excited,Quite respectful,Frequently,Understand somewhat,Slightly positive,Once in a while,No support at all,Slightly fair,Slightly likely,Some respect,Helps my learning a little bit,Once in a while,Belong quite a bit,Sometimes,Quite difficult
stu-e9-15,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-16,y,Somewhat concerned,Frequently,Somewhat excited,Somewhat respectful,Frequently,Understand a little,Very negative,Once in a while,A little bit of support,Neither unfair or fair,Quite likely,Some respect,Neither helps nor hurts my learning,Once in a while,Belong quite a bit,Frequently,Quite difficult
stu-e9-17,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-18,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-19,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-20,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-21,y,Quite concerned,Sometimes,Somewhat excited,Quite respectful,Once in a while,Understand quite a bit,Slightly positive,Almost never,A little bit of support,Neither unfair or fair,Somewhat likely,A little bit of respect,Hurts my learning some,Sometimes,Belong somewhat,Frequently,Extremely difficult
stu-e9-22,y,Slightly concerned,Almost never,Not at all excited,Not at all respectful,Once in a while,Understand somewhat,Slightly negative,Sometimes,Some support,Somewhat unfair,Quite likely,Some respect,Neither helps nor hurts my learning,Frequently,Belong a little bit,Once in a while,Slightly difficult
stu-e9-23,y,Not at all concerned,Almost never,Slightly excited,Somewhat respectful,Almost never,Completely understand,Very positive,Sometimes,No support at all,Neither unfair or fair,Slightly likely,A little bit of respect,Hurts my learning a little bit,Sometimes,Belong quite a bit,Sometimes,Quite difficult
stu-e9-24,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-25,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-26,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-27,y,Extremely concerned,Frequently,Quite excited,Extremely respectful,Almost never,Understand quite a bit,Slightly positive,Sometimes,Quite a bit of support,Slightly fair,Not at all likely,A little bit of respect,Hurts my learning a tremendous amount,Once in a while,Belong somewhat,Sometimes,Slightly difficult
stu-e9-28,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-29,y,Not at all concerned,Once in a while,Somewhat excited,Somewhat respectful,Almost never,Completely understand,Neither negative or positive,Almost never,A tremendous amount of support,Slightly fair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Once in a while,Completely belong,Once in a while,Not at all difficult
stu-e9-30,y,Slightly concerned,Almost never,Somewhat excited,Somewhat respectful,Once in a while,Understand quite a bit,Very positive,Sometimes,A tremendous amount of support,Neither unfair or fair,Somewhat likely,Quite a bit of respect,Helps my learning some,Once in a while,Belong somewhat,Sometimes,Slightly difficult
stu-e9-31,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-32,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-33,y,Slightly concerned,Almost never,Somewhat excited,Slightly respectful,Sometimes,Understand somewhat,Slightly negative,Almost always,Some support,Slightly unfair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Once in a while,Somewhat difficult
stu-e9-34,y,Extremely concerned,Almost always,Extremely excited,Extremely respectful,Once in a while,Completely understand,Slightly positive,Sometimes,A little bit of support,Neither unfair or fair,Somewhat likely,Some respect,Hurts my learning a little bit,Frequently,Belong somewhat,Frequently,Quite difficult
stu-e9-35,y,Quite concerned,Sometimes,Quite excited,Somewhat respectful,Frequently,Understand a little,Neither negative or positive,Almost always,A tremendous amount of support,Slightly unfair,Somewhat likely,Quite a bit of respect,Helps my learning a tremendous amount,Sometimes,Belong a little bit,Frequently,Not at all difficult
stu-e9-36,y,Quite concerned,Sometimes,Slightly excited,Somewhat respectful,Frequently,Understand a little,Slightly negative,Once in a while,No support at all,Slightly unfair,Somewhat likely,A little bit of respect,Hurts my learning some,Sometimes,Belong a little bit,Sometimes,Extremely difficult
stu-e9-37,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-38,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-39,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-40,y,Not at all concerned,Once in a while,Somewhat excited,Slightly respectful,Once in a while,Completely understand,Slightly positive,Almost never,A little bit of support,Slightly fair,Not at all likely,No respect at all,Hurts my learning some,Once in a while,Completely belong,Almost never,Extremely difficult
stu-e9-41,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-42,y,Extremely concerned,Frequently,Extremely excited,Somewhat respectful,Frequently,Do not understand at all,Slightly negative,Once in a while,A little bit of support,Neither unfair or fair,Somewhat likely,No respect at all,Neither helps nor hurts my learning,Once in a while,Belong quite a bit,Sometimes,Somewhat difficult
stu-e9-43,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-44,y,Slightly concerned,Sometimes,Quite excited,Extremely respectful,Sometimes,Understand a little,Somewhat negative,Frequently,Some support,Slightly unfair,Quite likely,Some respect,Hurts my learning a little bit,Almost always,Belong a little bit,Sometimes,Quite difficult
stu-e9-45,y,Not at all concerned,Once in a while,Slightly excited,Somewhat respectful,Almost never,Completely understand,Neither negative or positive,Once in a while,No support at all,Slightly fair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Once in a while,Quite difficult
stu-e9-46,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-47,y,Somewhat concerned,Once in a while,Not at all excited,Somewhat respectful,Sometimes,Understand somewhat,Neither negative or positive,Sometimes,Some support,Slightly unfair,Quite likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong a little bit,Sometimes,Quite difficult
stu-e9-48,y,Slightly concerned,Once in a while,Slightly excited,Somewhat respectful,Almost never,Understand quite a bit,Neither negative or positive,Once in a while,Some support,Slightly fair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Frequently,Slightly difficult
stu-e9-49,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-50,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-51,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-52,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-53,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-54,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-55,y,Somewhat concerned,Frequently,Quite excited,Extremely respectful,Almost never,Understand quite a bit,Slightly positive,Sometimes,A tremendous amount of support,Somewhat fair,Not at all likely,A little bit of respect,Hurts my learning some,Once in a while,Belong somewhat,Frequently,Slightly difficult
stu-e9-56,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-57,y,Quite concerned,Sometimes,Somewhat excited,Quite respectful,Frequently,Do not understand at all,Slightly negative,Almost always,No support at all,Very unfair,Extremely likely,A tremendous amount of respect,Neither helps nor hurts my learning,Frequently,Belong somewhat,Frequently,Somewhat difficult
stu-e9-58,y,Not at all concerned,Almost never,Not at all excited,Not at all respectful,Sometimes,Understand somewhat,Slightly negative,Once in a while,A tremendous amount of support,Neither unfair or fair,Quite likely,No respect at all,Hurts my learning some,Sometimes,Belong somewhat,Almost never,Slightly difficult
stu-e9-59,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-60,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-61,y,Not at all concerned,Sometimes,Slightly excited,Not at all respectful,Frequently,Understand a little,Very negative,Almost never,Some support,Very unfair,Extremely likely,No respect at all,Hurts my learning a little bit,Frequently,Do not belong at all,Almost never,Somewhat difficult
stu-e9-62,y,Not at all concerned,Sometimes,Slightly excited,Not at all respectful,Sometimes,Understand a little,Very negative,Almost always,No support at all,Slightly unfair,Somewhat likely,Some respect,Hurts my learning a little bit,Almost always,Belong somewhat,Sometimes,Extremely difficult
stu-e9-63,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-64,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-65,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-66,y,Slightly concerned,Almost never,Not at all excited,Not at all respectful,Almost always,Understand somewhat,Slightly negative,Almost never,Quite a bit of support,Slightly unfair,Quite likely,Some respect,Hurts my learning a little bit,Almost always,Belong somewhat,Sometimes,Somewhat difficult
stu-e9-67,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-68,y,Somewhat concerned,Sometimes,Somewhat excited,Slightly respectful,Almost always,Understand a little,Slightly negative,Frequently,Some support,Very unfair,Extremely likely,A tremendous amount of respect,Helps my learning some,Almost always,Belong a little bit,Once in a while,Quite difficult
stu-e9-69,y,Slightly concerned,Sometimes,Quite excited,Quite respectful,Almost never,Completely understand,Somewhat positive,Almost always,Quite a bit of support,Neither unfair or fair,Slightly likely,A tremendous amount of respect,Helps my learning a little bit,Once in a while,Belong quite a bit,Sometimes,Not at all difficult
stu-e9-70,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-71,y,Extremely concerned,Frequently,Somewhat excited,Slightly respectful,Sometimes,Understand a little,Slightly negative,Once in a while,A little bit of support,Somewhat unfair,Quite likely,A little bit of respect,Hurts my learning some,Almost always,Belong somewhat,Once in a while,Somewhat difficult
stu-e9-72,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-73,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-74,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-75,y,Not at all concerned,Once in a while,Somewhat excited,Slightly respectful,Frequently,Do not understand at all,Somewhat negative,Sometimes,A little bit of support,Somewhat unfair,Quite likely,Quite a bit of respect,Neither helps nor hurts my learning,Almost always,Belong somewhat,Almost never,Extremely difficult
stu-e9-76,y,Not at all concerned,Almost never,Somewhat excited,Somewhat respectful,Frequently,Do not understand at all,Slightly negative,Almost always,A tremendous amount of support,Very unfair,Extremely likely,Some respect,Neither helps nor hurts my learning,Frequently,Belong somewhat,Once in a while,Somewhat difficult
stu-e9-77,y,Not at all concerned,Sometimes,Slightly excited,Slightly respectful,Almost never,Understand somewhat,Slightly positive,Sometimes,A tremendous amount of support,Slightly fair,Quite likely,Quite a bit of respect,Helps my learning some,Almost never,Belong somewhat,Once in a while,Slightly difficult
stu-e9-78,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e9-79,y,Somewhat concerned,Sometimes,Slightly excited,Somewhat respectful,Once in a while,Completely understand,Neither negative or positive,Almost always,Quite a bit of support,Slightly unfair,Slightly likely,Quite a bit of respect,Helps my learning some,Sometimes,Belong somewhat,Frequently,Slightly difficult
stu-e9-80,y,Not at all concerned,Almost never,Slightly excited,Somewhat respectful,Almost always,Do not understand at all,Slightly negative,Almost always,Quite a bit of support,Very unfair,Extremely likely,A tremendous amount of respect,Helps my learning a little bit,Sometimes,Belong somewhat,Once in a while,Not at all difficult
stu-e9-81,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
