id,answered,enthusiastic_students,staff_trusted,positive_colleagues,supportive_students,respectful_staff_students,optimistic_improvement,students_help_students,colleagues_support_initiatives,positive_environment,positive_leaders,leaders_important_staff_satisfied,leaders_positive_influence,leaders_communicate_effective,leaders_knowledge,leaders_responsive,leaders_effective_rules,leaders_clear_goals,staff_input,friendly_families,meet_families,caring_families,supportive_families,trust_parents,respectful_parents,challenging_families
m7-1,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-2,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-3,y,Not at all enthusiastic,Trusted a little bit,Somewhat positive,Somewhat supportive,Somewhat respectful,Quite optimistic,Once in a while,Somewhat supportive,Slightly positive,Not at all positive,Slightly important,Not at all positive,Somewhat effectively,Slightly knowledgeable,Slightly responsive,Slightly effective,Not at all clearly,Almost no input,Somewhat friendly,Almost all the time,Somewhat caring,Somewhat supportive,Trust quite a bit,Quite respectful,Slightly challenging
m7-4,y,Quite enthusiastic,Trusted quite a bit,Not at all positive,Quite supportive,Slightly respectful,Somewhat optimistic,Almost all the time,Slightly supportive,Somewhat positive,Extremely positive,Extremely important,Extremely positive,Quite effectively,Extremely knowledgeable,Quite responsive,Quite effective,Extremely clearly,Quite a bit of input,Extremely friendly,Frequently,Extremely caring,Quite supportive,Trust a tremendous amount,Somewhat respectful,Slightly challenging
m7-5,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-6,y,Extremely enthusiastic,Trusted a little bit,Quite positive,Extremely supportive,Extremely respectful,Somewhat optimistic,Sometimes,Slightly supportive,Somewhat positive,Slightly positive,Slightly important,Somewhat positive,Quite effectively,Quite knowledgeable,Quite responsive,Extremely effective,Somewhat clearly,Some input,Somewhat friendly,Sometimes,Somewhat caring,Somewhat supportive,Trust some,Somewhat respectful,Quite challenging
m7-7,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-8,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-10,y,Not at all enthusiastic,Trusted a little bit,Not at all positive,Slightly supportive,Slightly respectful,Not at all optimistic,Almost never,Slightly supportive,Slightly positive,Not at all positive,Slightly important,Slightly positive,Somewhat effectively,Somewhat knowledgeable,Somewhat responsive,Somewhat effective,Somewhat clearly,A little bit of input,Slightly friendly,Frequently,Somewhat caring,Slightly supportive,Trust a little bit,Not at all respectful,Somewhat challenging
m7-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-12,y,Not at all enthusiastic,Trusted quite a bit,Not at all positive,Not at all supportive,Slightly respectful,Not at all optimistic,Almost never,Slightly supportive,Not at all positive,Somewhat positive,Slightly important,Somewhat positive,Quite effectively,Extremely knowledgeable,Somewhat responsive,Somewhat effective,Slightly clearly,Some input,Slightly friendly,Almost all the time,Slightly caring,Somewhat supportive,Trust a little bit,Slightly respectful,Somewhat challenging
m7-13,y,Not at all enthusiastic,Trusted a little bit,Extremely positive,Slightly supportive,Quite respectful,Quite optimistic,Once in a while,Quite supportive,Somewhat positive,Not at all positive,Slightly important,Somewhat positive,Somewhat effectively,Quite knowledgeable,Quite responsive,Somewhat effective,Quite clearly,Some input,Not at all friendly,Once in a while,Slightly caring,Slightly supportive,Trust some,Quite respectful,Not at all challenging
m7-14,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-15,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-16,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-17,y,Not at all enthusiastic,Trusted a tremendous amount,Somewhat positive,Slightly supportive,Slightly respectful,Quite optimistic,Sometimes,Extremely supportive,Somewhat positive,Extremely positive,Extremely important,Extremely positive,Extremely effectively,Somewhat knowledgeable,Somewhat responsive,Quite effective,Extremely clearly,A tremendous amount of input,Somewhat friendly,Almost never,Quite caring,Extremely supportive,Trust quite a bit,Extremely respectful,Slightly challenging
m7-18,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-19,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-20,y,Somewhat enthusiastic,Trusted a tremendous amount,Quite positive,Slightly supportive,Quite respectful,Extremely optimistic,Once in a while,Quite supportive,Quite positive,Quite positive,Somewhat important,Quite positive,Extremely effectively,Extremely knowledgeable,Quite responsive,Quite effective,Quite clearly,Some input,Not at all friendly,Almost all the time,Slightly caring,Slightly supportive,Do not trust at all,Somewhat respectful,Quite challenging
m7-21,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-22,y,Quite enthusiastic,Trusted a little bit,Somewhat positive,Somewhat supportive,Quite respectful,Quite optimistic,Once in a while,Extremely supportive,Extremely positive,Somewhat positive,Slightly important,Not at all positive,Slightly effectively,Slightly knowledgeable,Somewhat responsive,Quite effective,Somewhat clearly,Quite a bit of input,Not at all friendly,Almost all the time,Slightly caring,Somewhat supportive,Trust quite a bit,Quite respectful,Not at all challenging
m7-23,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-24,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-25,y,Not at all enthusiastic,Trusted a little bit,Somewhat positive,Somewhat supportive,Quite respectful,Somewhat optimistic,Frequently,Somewhat supportive,Quite positive,Somewhat positive,Slightly important,Slightly positive,Not at all effectively,Slightly knowledgeable,Not at all responsive,Somewhat effective,Somewhat clearly,A little bit of input,Somewhat friendly,Sometimes,Quite caring,Extremely supportive,Trust quite a bit,Extremely respectful,Slightly challenging
m7-26,y,Somewhat enthusiastic,Trusted a tremendous amount,Quite positive,Quite supportive,Quite respectful,Extremely optimistic,Almost all the time,Quite supportive,Somewhat positive,Quite positive,Extremely important,Quite positive,Extremely effectively,Quite knowledgeable,Quite responsive,Somewhat effective,Somewhat clearly,Quite a bit of input,Quite friendly,Almost all the time,Extremely caring,Extremely supportive,Trust some,Quite respectful,Not at all challenging
m7-27,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-28,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
m7-29,y,Somewhat enthusiastic,Trusted a tremendous amount,Extremely positive,Slightly supportive,Quite respectful,Somewhat optimistic,Almost never,Somewhat supportive,Somewhat positive,Extremely positive,Quite important,Quite positive,Extremely effectively,Somewhat knowledgeable,Slightly responsive,Not at all effective,Not at all clearly,Almost no input,Somewhat friendly,Almost all the time,Somewhat caring,Quite supportive,Trust a tremendous amount,Somewhat respectful,Quite challenging
m7-30,y,Quite enthusiastic,Trusted quite a bit,Not at all positive,Somewhat supportive,Slightly respectful,Slightly optimistic,Once in a while,Slightly supportive,Somewhat positive,Extremely positive,Quite important,Somewhat positive,Slightly effectively,Somewhat knowledgeable,Slightly responsive,Not at all effective,Somewhat clearly,A little bit of input,Slightly friendly,Once in a while,Not at all caring,Slightly supportive,Trust some,Quite respectful,Somewhat challenging
