"id","answered","respect_teacher","concerned_teacher","visit_teachers","how_teacher","again_teacher","disrespectful_people","understand_people","energy_school","fights_students","connected_adults","space_school","online_bully","respect_students","fair_rules","school_violence","matter_others","behavior_students","adult_help","belong_school","excited_teachers","unfair_adults","teachers_race","think_race","honest_race","encourage_race","share_race","often_race","adults_race","school_race"
stu-m7-1,y,About half of my teachers,A few of my teachers,A few of my teachers,None of my teachers,A few of my teachers,Frequently,Understand somewhat,Slightly positive,Once in a while,Extremely connected,Slightly pleasant,Quite likely,Some respect,Somewhat fair,Almost never,Matter somewhat,Hurts my learning a little bit,Not at all difficult,Belong quite a bit,Once in a while,Somewhat unfairly,Sometimes,Once in a while,Not at all confident,Sometimes,Somewhat comfortable,Almost never,Frequently,Somewhat well
stu-m7-5,y,Most of my teachers,All of my teachers,All of my teachers,About half of my teachers,About half of my teachers,Frequently,Do not understand at all,Slightly negative,Frequently,Not at all connected,Somewhat unpleasant,Somewhat likely,Some respect,Very unfair,Sometimes,Matter somewhat,Hurts my learning a little bit,Somewhat difficult,Belong somewhat,Sometimes,Somewhat unfairly,Frequently,Once in a while,Slightly confident,Once in a while,Extremely comfortable,Almost never,Frequently,Somewhat well
stu-m7-7,y,Most of my teachers,All of my teachers,Most of my teachers,All of my teachers,Most of my teachers,Frequently,Understand a little,Very negative,Sometimes,Slightly connected,Very unpleasant,Somewhat likely,Quite a bit of respect,Neither unfair or fair,Sometimes,Matter a little bit,Neither helps nor hurts my learning,Quite difficult,Belong a little bit,Sometimes,Extremely unfairly,Once in a while,Frequently,Quite confident,Once in a while,Slightly comfortable,Sometimes,Once in a while,Slightly well
stu-m7-8,y,Most of my teachers,All of my teachers,Most of my teachers,About half of my teachers,A few of my teachers,Once in a while,Understand quite a bit,Very positive,Almost never,Somewhat connected,Neither pleasant or unpleasant,Slightly likely,Quite a bit of respect,Neither unfair or fair,Sometimes,Matter somewhat,Neither helps nor hurts my learning,Slightly difficult,Belong a little bit,Sometimes,Somewhat unfairly,Sometimes,Almost never,Slightly confident,Sometimes,Somewhat comfortable,Once in a while,Frequently,Somewhat well
stu-m7-10,y,All of my teachers,Most of my teachers,About half of my teachers,Most of my teachers,About half of my teachers,Sometimes,Understand somewhat,Slightly negative,Sometimes,Somewhat connected,Neither pleasant or unpleasant,Quite likely,A little bit of respect,Slightly unfair,Frequently,Matter somewhat,Hurts my learning some,Quite difficult,Belong somewhat,Once in a while,Extremely unfairly,Almost never,Frequently,Somewhat confident,Once in a while,Slightly comfortable,Frequently,Sometimes,Slightly well
stu-m7-11,y,None of my teachers,A few of my teachers,None of my teachers,About half of my teachers,About half of my teachers,Almost always,Understand somewhat,Slightly positive,Sometimes,Extremely connected,Somewhat pleasant,Quite likely,A little bit of respect,Somewhat fair,Once in a while,Matter quite a bit,Neither helps nor hurts my learning,Somewhat difficult,Belong quite a bit,Once in a while,Slightly unfairly,Sometimes,Almost always,Somewhat confident,Frequently,Slightly comfortable,Sometimes,Frequently,Somewhat well
stu-m7-13,y,A few of my teachers,None of my teachers,A few of my teachers,About half of my teachers,Most of my teachers,Frequently,Do not understand at all,Very negative,Frequently,Not at all connected,Slightly unpleasant,Somewhat likely,No respect at all,Very unfair,Almost always,Matter a little bit,Hurts my learning some,Quite difficult,Do not belong at all,Sometimes,Somewhat unfairly,Once in a while,Sometimes,Slightly confident,Almost never,Slightly comfortable,Once in a while,Once in a while,Somewhat well
stu-m7-15,y,All of my teachers,About half of my teachers,About half of my teachers,A few of my teachers,A few of my teachers,Once in a while,Understand quite a bit,Very positive,Once in a while,Quite connected,Very pleasant,Somewhat likely,Quite a bit of respect,Slightly fair,Sometimes,Matter a little bit,Helps my learning a tremendous amount,Not at all difficult,Do not belong at all,Once in a while,Slightly unfairly,Once in a while,Almost always,Extremely confident,Once in a while,Slightly comfortable,Almost always,Sometimes,Slightly well
stu-m7-20,y,All of my teachers,Most of my teachers,Most of my teachers,Most of my teachers,About half of my teachers,Almost never,Understand quite a bit,Somewhat positive,Once in a while,Quite connected,Neither pleasant or unpleasant,Somewhat likely,A tremendous amount of respect,Slightly fair,Almost never,Matter somewhat,Helps my learning a tremendous amount,Somewhat difficult,Belong quite a bit,Sometimes,Quite unfairly,Once in a while,Almost always,Somewhat confident,Sometimes,Slightly comfortable,Sometimes,Once in a while,Quite well
stu-m7-22,y,A few of my teachers,A few of my teachers,None of my teachers,None of my teachers,About half of my teachers,Almost never,Understand quite a bit,Slightly positive,Once in a while,Quite connected,Very pleasant,Slightly likely,A tremendous amount of respect,Neither unfair or fair,Frequently,Matter a little bit,Neither helps nor hurts my learning,Somewhat difficult,Do not belong at all,Frequently,Slightly unfairly,Frequently,Sometimes,Slightly confident,Once in a while,Extremely comfortable,Sometimes,Frequently,Somewhat well
stu-m7-25,y,All of my teachers,All of my teachers,Most of my teachers,About half of my teachers,About half of my teachers,Almost always,Understand a little,Somewhat negative,Almost always,Not at all connected,Somewhat unpleasant,Quite likely,A little bit of respect,Very unfair,Frequently,Matter a little bit,Hurts my learning some,Somewhat difficult,Belong somewhat,Sometimes,Somewhat unfairly,Sometimes,Almost never,Slightly confident,Frequently,Quite comfortable,Sometimes,Once in a while,Quite well
stu-m7-28,y,About half of my teachers,About half of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Sometimes,Understand somewhat,Slightly negative,Frequently,Not at all connected,Neither pleasant or unpleasant,Slightly likely,No respect at all,Slightly unfair,Frequently,Matter a little bit,Hurts my learning a tremendous amount,Extremely difficult,Do not belong at all,Once in a while,Somewhat unfairly,Sometimes,Sometimes,Not at all confident,Sometimes,Slightly comfortable,Once in a while,Sometimes,Quite well
