id,answered,respect_teacher,concerned_teacher,visit_teachers,how_teacher,again_teacher,disrespectful_people,understand_people,energy_school,fights_students,connected_adults,space_school,online_bully,respect_students,fair_rules,school_violence,matter_others,behavior_students,adult_help,belong_school,excited_teachers,unfair_adults,teachers_race,think_race,honest_race,encourage_race,share_race,often_race,adults_race,school_race
stu-m9-1,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-2,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-3,y,None of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,Sometimes,Understand a little,Somewhat negative,Frequently,Somewhat connected,Neither pleasant or unpleasant,Extremely likely,A little bit of respect,Neither unfair or fair,Frequently,Matter somewhat,Hurts my learning some,Slightly difficult,Belong quite a bit,Frequently,Somewhat unfairly,Frequently,Once in a while,Not at all confident,Almost always,Quite comfortable,Once in a while,Once in a while,Extremely well
stu-m9-4,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-5,y,Most of my teachers,Most of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Sometimes,Understand quite a bit,Neither negative or positive,Once in a while,Somewhat connected,Slightly unpleasant,Somewhat likely,A tremendous amount of respect,Somewhat unfair,Sometimes,Matter somewhat,Helps my learning a little bit,Slightly difficult,Belong quite a bit,Sometimes,Not at all unfairly,Frequently,Almost always,Somewhat confident,Sometimes,Quite comfortable,Once in a while,Frequently,Slightly well
stu-m9-6,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-7,y,All of my teachers,About half of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Frequently,Understand somewhat,Neither negative or positive,Frequently,Quite connected,Slightly pleasant,Slightly likely,Some respect,Very fair,Once in a while,Matter quite a bit,Hurts my learning a little bit,Slightly difficult,Completely belong,Once in a while,Slightly unfairly,Once in a while,Almost never,Not at all confident,Frequently,Not at all comfortable,Almost never,Sometimes,Quite well
stu-m9-8,y,A few of my teachers,A few of my teachers,None of my teachers,A few of my teachers,A few of my teachers,Almost never,Understand somewhat,Slightly positive,Once in a while,Somewhat connected,Very pleasant,Somewhat likely,Some respect,Very fair,Almost never,Matter a tremendous amount,Helps my learning a little bit,Quite difficult,Belong quite a bit,Sometimes,Quite unfairly,Once in a while,Frequently,Extremely confident,Almost always,Not at all comfortable,Frequently,Almost never,Quite well
stu-m9-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-10,y,All of my teachers,About half of my teachers,Most of my teachers,About half of my teachers,A few of my teachers,Sometimes,Understand quite a bit,Neither negative or positive,Frequently,Somewhat connected,Neither pleasant or unpleasant,Somewhat likely,No respect at all,Slightly fair,Once in a while,Matter quite a bit,Neither helps nor hurts my learning,Slightly difficult,Completely belong,Almost never,Slightly unfairly,Once in a while,Almost always,Slightly confident,Frequently,Slightly comfortable,Sometimes,Almost always,Somewhat well
stu-m9-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-12,y,None of my teachers,None of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,Frequently,Understand a little,Slightly negative,Frequently,Not at all connected,Neither pleasant or unpleasant,Somewhat likely,No respect at all,Neither unfair or fair,Sometimes,Matter somewhat,Neither helps nor hurts my learning,Somewhat difficult,Belong somewhat,Once in a while,Somewhat unfairly,Almost never,Almost never,Somewhat confident,Sometimes,Somewhat comfortable,Sometimes,Once in a while,Slightly well
stu-m9-13,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-14,y,A few of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Almost always,Do not understand at all,Somewhat negative,Sometimes,Somewhat connected,Very unpleasant,Quite likely,Some respect,Slightly unfair,Frequently,Matter somewhat,Helps my learning a little bit,Somewhat difficult,Belong somewhat,Once in a while,Quite unfairly,Once in a while,Frequently,Extremely confident,Frequently,Slightly comfortable,Almost always,Once in a while,Extremely well
stu-m9-15,y,About half of my teachers,A few of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,Almost never,Understand quite a bit,Slightly positive,Almost never,Extremely connected,Very pleasant,Slightly likely,Some respect,Neither unfair or fair,Frequently,Matter a little bit,Neither helps nor hurts my learning,Somewhat difficult,Do not belong at all,Almost never,Somewhat unfairly,Sometimes,Sometimes,Slightly confident,Almost never,Slightly comfortable,Almost never,Once in a while,Somewhat well
stu-m9-16,y,None of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,About half of my teachers,Almost never,Completely understand,Neither negative or positive,Frequently,Somewhat connected,Neither pleasant or unpleasant,Not at all likely,A little bit of respect,Slightly unfair,Almost always,Matter somewhat,Hurts my learning a little bit,Slightly difficult,Belong a little bit,Once in a while,Slightly unfairly,Sometimes,Once in a while,Slightly confident,Once in a while,Quite comfortable,Almost never,Frequently,Not at all well
stu-m9-17,y,About half of my teachers,About half of my teachers,About half of my teachers,A few of my teachers,A few of my teachers,Sometimes,Understand quite a bit,Very positive,Sometimes,Somewhat connected,Somewhat pleasant,Slightly likely,A little bit of respect,Neither unfair or fair,Sometimes,Matter a little bit,Hurts my learning a tremendous amount,Quite difficult,Belong somewhat,Sometimes,Extremely unfairly,Sometimes,Almost always,Slightly confident,Once in a while,Quite comfortable,Sometimes,Almost never,Slightly well
stu-m9-18,y,Most of my teachers,Most of my teachers,Most of my teachers,All of my teachers,About half of my teachers,Sometimes,Understand quite a bit,Somewhat positive,Once in a while,Somewhat connected,Somewhat pleasant,Slightly likely,Some respect,Somewhat fair,Once in a while,Matter somewhat,Neither helps nor hurts my learning,Somewhat difficult,Belong quite a bit,Once in a while,Somewhat unfairly,Sometimes,Frequently,Slightly confident,Frequently,Somewhat comfortable,Once in a while,Frequently,Extremely well
stu-m9-19,y,All of my teachers,All of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Almost never,Completely understand,Very positive,Once in a while,Quite connected,Somewhat pleasant,Slightly likely,Quite a bit of respect,Somewhat fair,Sometimes,Matter somewhat,Helps my learning some,Somewhat difficult,Belong somewhat,Frequently,Quite unfairly,Almost always,Once in a while,Quite confident,Frequently,Quite comfortable,Almost always,Once in a while,Extremely well
stu-m9-20,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-21,y,About half of my teachers,Most of my teachers,Most of my teachers,All of my teachers,All of my teachers,Once in a while,Completely understand,Very positive,Once in a while,Extremely connected,Somewhat pleasant,Somewhat likely,Quite a bit of respect,Neither unfair or fair,Sometimes,Matter a little bit,Neither helps nor hurts my learning,Not at all difficult,Belong a little bit,Sometimes,Slightly unfairly,Frequently,Sometimes,Somewhat confident,Sometimes,Extremely comfortable,Once in a while,Frequently,Slightly well
stu-m9-22,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-23,y,None of my teachers,None of my teachers,A few of my teachers,A few of my teachers,None of my teachers,Sometimes,Understand a little,Very negative,Almost always,Not at all connected,Very unpleasant,Extremely likely,No respect at all,Neither unfair or fair,Sometimes,Matter somewhat,Hurts my learning a tremendous amount,Extremely difficult,Belong somewhat,Sometimes,Somewhat unfairly,Frequently,Frequently,Not at all confident,Sometimes,Quite comfortable,Once in a while,Once in a while,Quite well
stu-m9-24,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-25,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-26,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-27,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-28,y,Most of my teachers,Most of my teachers,All of my teachers,All of my teachers,All of my teachers,Frequently,Understand a little,Somewhat negative,Almost always,Somewhat connected,Slightly unpleasant,Somewhat likely,No respect at all,Somewhat unfair,Sometimes,Matter quite a bit,Hurts my learning some,Slightly difficult,Belong quite a bit,Frequently,Somewhat unfairly,Frequently,Almost never,Somewhat confident,Frequently,Somewhat comfortable,Frequently,Frequently,Somewhat well
stu-m9-29,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-30,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-31,y,A few of my teachers,None of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,Almost always,Understand a little,Very negative,Frequently,Slightly connected,Somewhat unpleasant,Quite likely,A little bit of respect,Neither unfair or fair,Sometimes,Matter quite a bit,Neither helps nor hurts my learning,Somewhat difficult,Completely belong,Almost always,Somewhat unfairly,Sometimes,Almost always,Slightly confident,Sometimes,Slightly comfortable,Sometimes,Sometimes,Quite well
stu-m9-32,y,A few of my teachers,None of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,Almost always,Understand a little,Very negative,Almost always,Not at all connected,Very unpleasant,Extremely likely,No respect at all,Slightly unfair,Frequently,Do not matter at all,Hurts my learning a tremendous amount,Quite difficult,Belong a little bit,Sometimes,Extremely unfairly,Frequently,Almost always,Not at all confident,Almost never,Extremely comfortable,Almost never,Once in a while,Somewhat well
stu-m9-33,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-34,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-35,y,About half of my teachers,A few of my teachers,None of my teachers,None of my teachers,About half of my teachers,Once in a while,Understand quite a bit,Somewhat positive,Almost never,Somewhat connected,Slightly pleasant,Somewhat likely,Some respect,Slightly fair,Once in a while,Matter a tremendous amount,Hurts my learning a little bit,Slightly difficult,Belong somewhat,Sometimes,Not at all unfairly,Frequently,Once in a while,Slightly confident,Once in a while,Quite comfortable,Almost never,Frequently,Slightly well
stu-m9-36,y,None of my teachers,None of my teachers,A few of my teachers,None of my teachers,About half of my teachers,Frequently,Understand a little,Very negative,Frequently,Somewhat connected,Somewhat unpleasant,Quite likely,No respect at all,Neither unfair or fair,Frequently,Matter somewhat,Neither helps nor hurts my learning,Slightly difficult,Belong a little bit,Once in a while,Slightly unfairly,Once in a while,Frequently,Somewhat confident,Once in a while,Slightly comfortable,Frequently,Sometimes,Somewhat well
stu-m9-37,y,About half of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,About half of my teachers,Frequently,Do not understand at all,Slightly negative,Almost always,Somewhat connected,Neither pleasant or unpleasant,Somewhat likely,No respect at all,Slightly unfair,Frequently,Matter somewhat,Hurts my learning some,Quite difficult,Belong somewhat,Once in a while,Somewhat unfairly,Sometimes,Once in a while,Not at all confident,Sometimes,Somewhat comfortable,Almost never,Sometimes,Slightly well
stu-m9-38,y,Most of my teachers,All of my teachers,All of my teachers,Most of my teachers,Most of my teachers,Almost always,Understand somewhat,Neither negative or positive,Sometimes,Somewhat connected,Slightly pleasant,Slightly likely,Some respect,Slightly fair,Once in a while,Matter quite a bit,Hurts my learning a little bit,Quite difficult,Belong quite a bit,Almost always,Extremely unfairly,Almost always,Once in a while,Slightly confident,Frequently,Quite comfortable,Sometimes,Almost never,Somewhat well
stu-m9-39,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-40,y,About half of my teachers,Most of my teachers,Most of my teachers,About half of my teachers,About half of my teachers,Almost never,Understand quite a bit,Very positive,Sometimes,Somewhat connected,Very pleasant,Not at all likely,A little bit of respect,Somewhat fair,Sometimes,Matter a little bit,Hurts my learning a tremendous amount,Quite difficult,Belong a little bit,Frequently,Extremely unfairly,Frequently,Frequently,Slightly confident,Almost never,Extremely comfortable,Almost never,Almost never,Slightly well
stu-m9-41,y,A few of my teachers,None of my teachers,A few of my teachers,A few of my teachers,None of my teachers,Sometimes,Understand somewhat,Slightly positive,Once in a while,Quite connected,Slightly pleasant,Somewhat likely,A tremendous amount of respect,Very fair,Almost never,Matter somewhat,Helps my learning a little bit,Not at all difficult,Belong quite a bit,Once in a while,Somewhat unfairly,Almost never,Sometimes,Somewhat confident,Frequently,Slightly comfortable,Frequently,Frequently,Extremely well
stu-m9-42,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-43,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-44,y,None of my teachers,None of my teachers,A few of my teachers,A few of my teachers,About half of my teachers,Sometimes,Understand somewhat,Neither negative or positive,Once in a while,Somewhat connected,Neither pleasant or unpleasant,Quite likely,A tremendous amount of respect,Neither unfair or fair,Once in a while,Matter a tremendous amount,Helps my learning a tremendous amount,Somewhat difficult,Completely belong,Sometimes,Somewhat unfairly,Once in a while,Almost always,Quite confident,Sometimes,Somewhat comfortable,Almost always,Once in a while,Quite well
stu-m9-45,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-46,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-47,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-48,y,None of my teachers,A few of my teachers,About half of my teachers,A few of my teachers,About half of my teachers,Frequently,Understand a little,Very negative,Frequently,Not at all connected,Neither pleasant or unpleasant,Quite likely,No respect at all,Slightly unfair,Almost always,Do not matter at all,Hurts my learning a tremendous amount,Extremely difficult,Do not belong at all,Sometimes,Extremely unfairly,Sometimes,Sometimes,Not at all confident,Once in a while,Quite comfortable,Once in a while,Sometimes,Not at all well
stu-m9-49,y,All of my teachers,All of my teachers,About half of my teachers,About half of my teachers,A few of my teachers,Sometimes,Understand a little,Very negative,Frequently,Slightly connected,Neither pleasant or unpleasant,Quite likely,A little bit of respect,Slightly unfair,Almost always,Matter a little bit,Hurts my learning some,Quite difficult,Do not belong at all,Once in a while,Somewhat unfairly,Once in a while,Almost always,Not at all confident,Once in a while,Slightly comfortable,Almost never,Frequently,Not at all well
stu-m9-50,y,About half of my teachers,A few of my teachers,A few of my teachers,About half of my teachers,About half of my teachers,Once in a while,Completely understand,Very positive,Sometimes,Somewhat connected,Slightly pleasant,Slightly likely,Some respect,Slightly fair,Almost never,Matter quite a bit,Helps my learning a little bit,Quite difficult,Belong quite a bit,Sometimes,Quite unfairly,Once in a while,Sometimes,Somewhat confident,Sometimes,Somewhat comfortable,Sometimes,Almost never,Quite well
stu-m9-51,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-52,y,None of my teachers,None of my teachers,A few of my teachers,None of my teachers,About half of my teachers,Once in a while,Understand somewhat,Slightly positive,Once in a while,Extremely connected,Somewhat pleasant,Quite likely,A tremendous amount of respect,Slightly fair,Almost never,Matter quite a bit,Helps my learning some,Somewhat difficult,Belong somewhat,Once in a while,Somewhat unfairly,Sometimes,Once in a while,Somewhat confident,Frequently,Quite comfortable,Sometimes,Sometimes,Somewhat well
stu-m9-53,y,About half of my teachers,A few of my teachers,A few of my teachers,None of my teachers,About half of my teachers,Frequently,Do not understand at all,Slightly negative,Almost always,Slightly connected,Somewhat unpleasant,Quite likely,A little bit of respect,Very unfair,Almost always,Matter a little bit,Hurts my learning a tremendous amount,Somewhat difficult,Belong somewhat,Frequently,Slightly unfairly,Almost always,Once in a while,Slightly confident,Frequently,Extremely comfortable,Almost never,Almost always,Quite well
stu-m9-54,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-55,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-56,y,Most of my teachers,All of my teachers,All of my teachers,About half of my teachers,About half of my teachers,Almost never,Understand somewhat,Slightly negative,Almost always,Somewhat connected,Somewhat unpleasant,Quite likely,No respect at all,Neither unfair or fair,Once in a while,Matter somewhat,Neither helps nor hurts my learning,Somewhat difficult,Belong a little bit,Sometimes,Somewhat unfairly,Sometimes,Sometimes,Quite confident,Sometimes,Slightly comfortable,Almost always,Once in a while,Slightly well
stu-m9-57,y,A few of my teachers,A few of my teachers,About half of my teachers,Most of my teachers,Most of my teachers,Almost never,Understand somewhat,Neither negative or positive,Frequently,Slightly connected,Slightly unpleasant,Somewhat likely,Some respect,Somewhat unfair,Almost always,Matter a little bit,Neither helps nor hurts my learning,Quite difficult,Belong somewhat,Almost always,Quite unfairly,Almost always,Almost always,Quite confident,Sometimes,Extremely comfortable,Frequently,Almost never,Quite well
stu-m9-58,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-59,y,None of my teachers,None of my teachers,None of my teachers,About half of my teachers,About half of my teachers,Almost always,Understand somewhat,Slightly negative,Frequently,Slightly connected,Somewhat unpleasant,Slightly likely,A little bit of respect,Neither unfair or fair,Frequently,Matter a little bit,Hurts my learning a little bit,Extremely difficult,Belong somewhat,Sometimes,Extremely unfairly,Sometimes,Almost always,Somewhat confident,Frequently,Somewhat comfortable,Sometimes,Sometimes,Extremely well
stu-m9-60,y,About half of my teachers,Most of my teachers,Most of my teachers,Most of my teachers,Most of my teachers,Frequently,Understand a little,Slightly negative,Frequently,Not at all connected,Neither pleasant or unpleasant,Quite likely,No respect at all,Neither unfair or fair,Sometimes,Matter somewhat,Hurts my learning some,Somewhat difficult,Belong somewhat,Sometimes,Somewhat unfairly,Frequently,Frequently,Not at all confident,Once in a while,Extremely comfortable,Almost never,Frequently,Not at all well
stu-m9-61,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-m9-62,y,Most of my teachers,About half of my teachers,About half of my teachers,About half of my teachers,Most of my teachers,Frequently,Understand a little,Somewhat negative,Frequently,Somewhat connected,Neither pleasant or unpleasant,Quite likely,Some respect,Neither unfair or fair,Once in a while,Matter somewhat,Neither helps nor hurts my learning,Quite difficult,Belong somewhat,Frequently,Quite unfairly,Almost always,Once in a while,Quite confident,Frequently,Quite comfortable,Sometimes,Almost never,Extremely well
