id,answered,concerned_teacher,how_teacher,again_teacher,respect_teacher,disrespectful_people,understand_people,energy_school,fights_students,support_adults,fair_rules,online_bully,respect_students,behavior_students,school_violence,belong_school,excited_teacher,adult_help
stu-e13-1,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e13-2,y,Not at all concerned,Almost never,Not at all excited,Not at all respectful,Frequently,Understand a little,Somewhat negative,Almost never,A little bit of support,Somewhat unfair,Quite likely,No respect at all,Hurts my learning some,Almost always,Belong a little bit,Once in a while,Extremely difficult
stu-e13-3,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e13-4,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e13-5,y,Not at all concerned,Once in a while,Slightly excited,Slightly respectful,Once in a while,Understand quite a bit,Very positive,Frequently,Quite a bit of support,Slightly fair,Not at all likely,Quite a bit of respect,Helps my learning a little bit,Once in a while,Completely belong,Almost never,Slightly difficult
stu-e13-6,y,Extremely concerned,Frequently,Extremely excited,Somewhat respectful,Sometimes,Understand somewhat,Neither negative or positive,Almost always,Some support,Slightly unfair,Slightly likely,Quite a bit of respect,Neither helps nor hurts my learning,Almost always,Do not belong at all,Once in a while,Somewhat difficult
stu-e13-7,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e13-8,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e13-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e13-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e13-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e13-12,y,Slightly concerned,Almost never,Slightly excited,Slightly respectful,Once in a while,Understand quite a bit,Somewhat positive,Frequently,Some support,Neither unfair or fair,Not at all likely,Some respect,Neither helps nor hurts my learning,Once in a while,Belong quite a bit,Once in a while,Slightly difficult
