id,answered,concerned_teacher,how_teacher,again_teacher,respect_teacher,disrespectful_people,understand_people,energy_school,fights_students,support_adults,fair_rules,online_bully,respect_students,behavior_students,school_violence,belong_school,excited_teacher,adult_help
stu-e7-1,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-2,y,Extremely concerned,Sometimes,Slightly excited,Slightly respectful,Sometimes,Understand a little,Slightly negative,Once in a while,A tremendous amount of support,Neither unfair or fair,Extremely likely,No respect at all,Neither helps nor hurts my learning,Frequently,Belong somewhat,Sometimes,Not at all difficult
stu-e7-3,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-4,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-5,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-6,y,Somewhat concerned,Sometimes,Quite excited,Quite respectful,Almost never,Understand somewhat,Slightly positive,Sometimes,A little bit of support,Neither unfair or fair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Sometimes,Belong quite a bit,Frequently,Quite difficult
stu-e7-7,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-8,y,Quite concerned,Almost always,Somewhat excited,Quite respectful,Frequently,Do not understand at all,Slightly negative,Frequently,Quite a bit of support,Neither unfair or fair,Quite likely,A tremendous amount of respect,Helps my learning some,Frequently,Belong a little bit,Sometimes,Slightly difficult
stu-e7-9,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-10,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-11,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-12,y,Somewhat concerned,Frequently,Quite excited,Somewhat respectful,Once in a while,Understand quite a bit,Very positive,Once in a while,No support at all,Very fair,Not at all likely,A little bit of respect,Hurts my learning some,Sometimes,Belong a little bit,Once in a while,Somewhat difficult
stu-e7-13,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-14,y,Quite concerned,Sometimes,Somewhat excited,Slightly respectful,Frequently,Understand somewhat,Neither negative or positive,Almost never,Some support,Slightly fair,Slightly likely,A little bit of respect,Hurts my learning a little bit,Sometimes,Belong quite a bit,Once in a while,Somewhat difficult
stu-e7-15,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e7-16,y,Slightly concerned,Once in a while,Somewhat excited,Somewhat respectful,Almost always,Understand a little,Somewhat negative,Almost never,A little bit of support,Neither unfair or fair,Somewhat likely,A little bit of respect,Hurts my learning some,Frequently,Belong a little bit,Once in a while,Somewhat difficult
stu-e7-17,y,Quite concerned,Almost always,Extremely excited,Somewhat respectful,Once in a while,Completely understand,Slightly positive,Almost never,Some support,Neither unfair or fair,Slightly likely,Some respect,Helps my learning a little bit,Sometimes,Belong somewhat,Once in a while,Somewhat difficult
stu-e7-18,y,Quite concerned,Sometimes,Quite excited,Quite respectful,Almost never,Understand quite a bit,Slightly positive,Almost never,A little bit of support,Somewhat fair,Somewhat likely,A little bit of respect,Hurts my learning a tremendous amount,Almost never,Belong quite a bit,Sometimes,Extremely difficult
stu-e7-19,y,Not at all concerned,Almost never,Slightly excited,Somewhat respectful,Sometimes,Understand quite a bit,Somewhat positive,Almost always,A little bit of support,Slightly fair,Somewhat likely,Quite a bit of respect,Helps my learning some,Once in a while,Belong quite a bit,Once in a while,Quite difficult
stu-e7-20,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
